Date,Close,Open,High,Low,Volume,Change
2012-07-30,7158.88,7159.21,7184.31,7146.07,1780000.0,0.0048
2012-07-31,7270.49,7140.53,7270.49,7140.53,2120000.0,0.015600000000000001
2012-08-01,7267.96,7242.58,7273.62,7223.17,1900000.0,-0.0003
2012-08-03,7217.51,7220.51,7235.63,7186.78,1890000.0,-0.0069
2012-08-06,7286.33,7311.74,7340.56,7276.6,2000000.0,0.0095
2012-08-07,7295.46,7289.89,7300.99,7265.96,1790000.0,0.0013
2012-08-08,7319.8,7331.59,7357.42,7302.9,2230000.0,0.0033
2012-08-09,7433.7,7341.87,7435.0,7341.87,2650000.0,0.015600000000000001
2012-08-10,7441.12,7443.36,7458.23,7409.43,2080000.0,0.001
2012-08-13,7436.3,7495.81,7495.81,7423.84,1700000.0,-0.0006
2012-08-14,7479.25,7447.03,7520.65,7447.03,2060000.0,0.0058
2012-08-15,7467.74,7489.81,7489.81,7442.72,1840000.0,-0.0015
2012-08-16,7490.21,7475.68,7515.02,7456.4,2100000.0,0.003
2012-08-17,7467.92,7502.85,7516.71,7467.92,1950000.0,-0.003
2012-08-20,7431.91,7482.05,7485.16,7422.44,1530000.0,-0.0048
2012-08-21,7506.81,7459.5,7536.32,7459.5,1990000.0,0.0101
2012-08-22,7496.58,7495.87,7501.26,7461.07,1720000.0,-0.0014000000000000002
2012-08-23,7505.17,7486.58,7519.03,7475.09,1750000.0,0.0011
2012-08-24,7477.53,7479.57,7494.36,7454.85,1780000.0,-0.0037
2012-08-27,7468.22,7504.45,7523.54,7457.75,1570000.0,-0.0012
2012-08-28,7361.94,7440.56,7445.08,7359.83,1750000.0,-0.014199999999999999
2012-08-29,7391.15,7379.48,7405.3,7368.4,1450000.0,0.004
2012-08-30,7371.44,7372.06,7404.94,7360.1,1890000.0,-0.0027
2012-08-31,7397.06,7363.25,7406.52,7363.25,1580000.0,0.0034999999999999996
2012-09-03,7450.53,7430.4,7462.15,7389.68,1820000.0,0.0072
2012-09-04,7451.35,7471.31,7479.01,7440.03,1890000.0,0.0001
2012-09-05,7367.44,7429.93,7429.93,7364.68,1910000.0,-0.0113
2012-09-06,7326.72,7383.04,7390.76,7313.56,1820000.0,-0.0055000000000000005
2012-09-07,7424.91,7434.43,7446.1,7409.88,2180000.0,0.0134
2012-09-10,7482.74,7435.34,7482.74,7435.34,2300000.0,0.0078000000000000005
2012-09-11,7485.13,7497.23,7509.16,7468.18,1840000.0,0.0003
2012-09-12,7570.45,7518.68,7571.42,7515.04,2700000.0,0.011399999999999999
2012-09-13,7578.8,7577.16,7594.76,7557.28,2330000.0,0.0011
2012-09-14,7738.05,7660.38,7738.05,7660.38,3650000.0,0.021
2012-09-17,7762.22,7768.45,7778.06,7725.9,3300000.0,0.0031
2012-09-18,7734.26,7740.57,7757.04,7714.43,2450000.0,-0.0036
2012-09-19,7781.91,7739.52,7781.91,7726.35,2740000.0,0.0062
2012-09-20,7727.55,7781.81,7785.47,7704.61,2530000.0,-0.006999999999999999
2012-09-21,7754.59,7763.29,7765.01,7737.03,2250000.0,0.0034999999999999996
2012-09-24,7768.3,7760.33,7781.55,7706.95,2100000.0,0.0018
2012-09-25,7734.13,7766.44,7789.39,7720.44,2069999.9999999998,-0.0044
2012-09-26,7669.63,7702.77,7708.9,7649.5,2120000.0,-0.0083
2012-09-27,7683.8,7665.89,7699.23,7658.51,1930000.0,0.0018
2012-09-28,7715.16,7704.23,7721.29,7665.35,2020000.0,0.0040999999999999995
2012-10-01,7675.72,7702.12,7707.89,7657.88,1410000.0,-0.0051
2012-10-02,7718.68,7703.1,7726.61,7683.03,1610000.0,0.005600000000000001
2012-10-03,7684.63,7727.48,7727.53,7680.98,1530000.0,-0.0044
2012-10-04,7682.34,7678.48,7689.08,7621.38,1780000.0,-0.0003
2012-10-05,7690.65,7694.05,7721.93,7675.48,1800000.0,0.0011
2012-10-08,7615.89,7707.97,7707.97,7612.87,1550000.0,-0.0097
2012-10-09,7592.01,7593.58,7631.96,7590.75,1840000.0,-0.0031
2012-10-11,7451.72,7494.58,7501.22,7448.06,1960000.0,-0.018500000000000003
2012-10-12,7437.04,7456.51,7478.51,7398.8,1560000.0,-0.002
2012-10-15,7418.9,7433.22,7433.68,7392.61,1190000.0,-0.0024
2012-10-16,7471.02,7437.79,7471.02,7437.79,1490000.0,0.006999999999999999
2012-10-17,7464.4,7505.41,7518.36,7450.29,1840000.0,-0.0009
